type,list,answer
animals,"['banana', 'jaguar', 'otter', 'elephant', 'cello', 'sloth']",4
fruits,"['hebrew', 'spaceship', 'giraffe', 'subway']",0
animals,"['convertible', 'bagpipe', 'trolley', 'tongs']",0
musical instruments,"['violin', 'scooter', 'oboe', 'xylophone']",3
musical instruments,"['violin', 'banjo', 'rambutan', 'kangaroo', 'rolling pin', 'spatula', 'harp', 'trombone']",4
languages,"['grater', 'greek', 'korean', 'orange', 'piccolo']",2
musical instruments,"['piccolo', 'tuba', 'xylophone', 'cello']",4
musical instruments,"['banana', 'ambulance', 'penguin', 'banjo']",1
utensils,"['paring knife', 'strainer', 'whisk', 'zester']",4
languages,"['chameleon', 'badger', 'mandarin', 'thai', 'zester']",2
musical instruments,"['meat tenderizer', 'skimmer', 'hindi', 'turkish']",0
languages,"['trumpet', 'measuring cup', 'tagalog', 'maori', 'badger', 'bulldozer']",2
utensils,"['guava', 'bassoon', 'mandoline', 'alpaca', 'harp', 'peeler']",2
vehicles,"['ferry', 'hyena', 'badger', 'spaceship', 'ladle']",2
utensils,"['whisk', 'sitar', 'slotted spoon', 'harp', 'punjabi', 'masher']",3
languages,"['slotted spoon', 'marimba', 'scooter', 'subway']",0
languages,"['mandarin', 'panther', 'greek', 'apricot', 'arabic', 'yoruba', 'tram']",4
animals,"['turkish', 'date', 'raccoon', 'piccolo']",1
fruits,"['meat tenderizer', 'greek', 'pear', 'czech', 'fig', 'persian', 'cherry']",3
languages,"['arabic', 'hindi', 'norwegian', 'bulldozer', 'hungarian']",4
fruits,"['guava', 'rambutan', 'slotted spoon', 'cherry']",3
languages,"['raccoon', 'turkish', 'greek', 'persian', 'maori']",4
animals,"['paring knife', 'penguin', 'badger', 'walrus', 'grape', 'date', 'apricot', 'otter']",4
animals,"['trolley', 'panther', 'hyena', 'badger', 'gorilla', 'korean']",4
vehicles,"['grater', 'bus', 'violin', 'minivan']",2
animals,"['subway', 'whisk', 'marimba', 'gondola']",0
fruits,"['bagpipe', 'mandoline', 'zester', 'walrus']",0
vehicles,"['korean', 'bus', 'panther', 'xylophone', 'spaceship']",2
musical instruments,"['scooter', 'trombone', 'greek', 'van', 'skimmer', 'violin']",2
vehicles,"['apple', 'xylophone', 'spaceship', 'didgeridoo', 'date', 'trolley', 'subway']",3
fruits,"['strainer', 'grater', 'thai', 'clarinet']",0
vehicles,"['panther', 'raccoon', 'apple', 'tram', 'hebrew']",1
animals,"['clarinet', 'trombone', 'sedan', 'turkish']",0
musical instruments,"['spatula', 'maori', 'skimmer', 'yoruba']",0
utensils,"['hungarian', 'trombone', 'violin', 'jeep', 'strainer']",1
utensils,"['strainer', 'rolling pin', 'peeler', 'whisk']",4
fruits,"['fig', 'persimmon', 'zester', 'czech', 'hindi', 'guava', 'lychee', 'ladle']",4
fruits,"['banana', 'piccolo', 'bassoon', 'giraffe']",1
animals,"['marimba', 'guava', 'turkish', 'kiwi']",0
musical instruments,"['penguin', 'paring knife', 'persian', 'trolley']",0
musical instruments,"['dolphin', 'lute', 'bengali', 'accordion', 'oboe', 'orange', 'grater', 'mandolin']",4
fruits,"['swahili', 'tagalog', 'papaya', 'bulldozer', 'hungarian', 'guava']",2
languages,"['hyena', 'maori', 'measuring cup', 'turkish', 'tongs']",2
animals,"['walrus', 'trolley', 'convertible', 'clarinet', 'panther', 'penguin']",3
vehicles,"['subway', 'banjo', 'harp', 'rolling pin', 'grater']",1
languages,"['violin', 'lute', 'rolling pin', 'turkish']",1
utensils,"['bengali', 'yoruba', 'sitar', 'panther']",0
animals,"['maori', 'oboe', 'finnish', 'gondola']",0
fruits,"['xylophone', 'apricot', 'motorcycle', 'rambutan', 'minivan', 'papaya']",3
languages,"['scooter', 'lion', 'skimmer', 'baster']",0
languages,"['piccolo', 'bengali', 'oboe', 'trumpet']",1
musical instruments,"['mandolin', 'trombone', 'badger', 'tambourine']",3
musical instruments,"['spaceship', 'hyena', 'cherry', 'strainer']",0
animals,"['bus', 'clarinet', 'panther', 'baster', 'korean']",1
languages,"['peeler', 'subway', 'jaguar', 'hebrew']",1
vehicles,"['bicycle', 'scooter', 'motorcycle', 'cleaver']",3
utensils,"['alpaca', 'bassoon', 'grater', 'bagpipe']",1
fruits,"['kiwi', 'norwegian', 'banana', 'bassoon', 'papaya', 'cherry']",4
languages,"['tagalog', 'motorcycle', 'badger', 'ambulance']",1
fruits,"['violin', 'tagalog', 'jaguar', 'zester']",0
vehicles,"['bulldozer', 'punjabi', 'plum', 'slotted spoon', 'thai']",1
vehicles,"['apricot', 'oboe', 'bus', 'baster']",1
languages,"['hungarian', 'hindi', 'maori', 'paring knife']",3
utensils,"['giraffe', 'fig', 'measuring cup', 'marimba', 'ladle', 'baster', 'papaya', 'slotted spoon']",4
animals,"['turkish', 'otter', 'chameleon', 'paring knife', 'buffalo']",3
vehicles,"['bulldozer', 'gondola', 'minivan', 'motorcycle']",4
fruits,"['gorilla', 'thai', 'cleaver', 'scooter']",0
fruits,"['chameleon', 'giraffe', 'date', 'mango', 'gondola', 'turkish']",2
utensils,"['skimmer', 'buffalo', 'bagpipe', 'meat tenderizer', 'papaya']",2
vehicles,"['grape', 'persimmon', 'spaceship', 'ferry', 'mango', 'colander']",2
animals,"['paring knife', 'panther', 'leopard', 'raccoon', 'vietnamese', 'walrus']",4
fruits,"['apple', 'tagalog', 'plum', 'persian', 'van', 'turkish']",2
animals,"['dolphin', 'arabic', 'didgeridoo', 'cello', 'zester']",1
utensils,"['skimmer', 'subway', 'ladle', 'peeler']",3
musical instruments,"['marimba', 'tuba', 'sitar', 'cello', 'sloth', 'panther', 'motorcycle']",4
vehicles,"['ferry', 'lion', 'bus', 'peeler', 'sitar', 'jeep']",3
fruits,"['accordion', 'lute', 'trumpet', 'violin']",0
languages,"['trumpet', 'measuring cup', 'orange', 'hungarian', 'banjo', 'turkish']",2
fruits,"['guava', 'slotted spoon', 'cherry', 'mandarin']",2
animals,"['koala', 'mandoline', 'sloth', 'lychee', 'melon', 'lion', 'thai']",3
musical instruments,"['greek', 'pomegranate', 'peach', 'colander']",0
vehicles,"['peach', 'spaceship', 'hebrew', 'ambulance', 'gorilla']",2
musical instruments,"['grater', 'date', 'mandoline', 'persian']",0
vehicles,"['piccolo', 'hungarian', 'bassoon', 'marimba', 'spaceship', 'ferry']",2
animals,"['walrus', 'sitar', 'elephant', 'clarinet', 'buffalo', 'kangaroo', 'skimmer', 'masher']",4
languages,"['tambourine', 'trumpet', 'xylophone', 'harp']",0
utensils,"['mandolin', 'punjabi', 'turkish', 'colander']",1
animals,"['greek', 'buffalo', 'scooter', 'rambutan', 'zester']",1
animals,"['kiwi', 'harp', 'walrus', 'slotted spoon']",1
animals,"['jaguar', 'badger', 'panther', 'giraffe']",4
utensils,"['pomegranate', 'clarinet', 'accordion', 'skimmer', 'kangaroo', 'peeler', 'meat tenderizer']",3
languages,"['yoruba', 'pomegranate', 'spaceship', 'lychee', 'finnish']",2
musical instruments,"['mandarin', 'truck', 'trolley', 'peach']",0
musical instruments,"['guava', 'spatula', 'kiwi', 'orange']",0
fruits,"['giraffe', 'apple', 'masher', 'rambutan', 'tuba', 'kiwi']",3
animals,"['leopard', 'peeler', 'cherry', 'skimmer', 'gorilla']",2
animals,"['koala', 'mandoline', 'alpaca', 'strainer', 'date', 'leopard', 'hyena']",4
musical instruments,"['yoruba', 'orange', 'sitar', 'jeep', 'piccolo']",2
animals,"['elephant', 'otter', 'baster', 'bengali', 'jaguar', 'kangaroo', 'sedan']",4
languages,"['vietnamese', 'hungarian', 'turkish', 'thai']",4
fruits,"['gorilla', 'swahili', 'finnish', 'persian']",0
animals,"['persian', 'panther', 'clarinet', 'scooter', 'raccoon', 'hebrew', 'elephant', 'alpaca']",4
languages,"['marimba', 'cherry', 'bagpipe', 'gorilla']",0
vehicles,"['date', 'convertible', 'tram', 'xylophone']",2
languages,"['baster', 'arabic', 'maori', 'spaceship', 'lute', 'koala', 'greek']",3
musical instruments,"['gorilla', 'otter', 'spaceship', 'tagalog']",0
utensils,"['tongs', 'masher', 'zester', 'mandoline']",4
languages,"['dolphin', 'spaceship', 'van', 'trombone']",0
animals,"['harp', 'elephant', 'korean', 'xylophone']",1
vehicles,"['van', 'bulldozer', 'sedan', 'marimba', 'subway']",4
vehicles,"['sedan', 'bicycle', 'ferry', 'minivan']",4
vehicles,"['cello', 'tram', 'truck', 'ambulance', 'kangaroo', 'accordion']",3
animals,"['buffalo', 'giraffe', 'chameleon', 'spatula']",3
fruits,"['mango', 'pear', 'buffalo', 'cherry', 'accordion', 'melon']",4
languages,"['gondola', 'hindi', 'bengali', 'mandarin']",3
animals,"['van', 'gorilla', 'lion', 'persian', 'peeler']",2
utensils,"['koala', 'ambulance', 'jeep', 'meat tenderizer', 'xylophone', 'mandoline', 'ladle']",3
musical instruments,"['harp', 'bassoon', 'banjo', 'piccolo']",4
vehicles,"['sitar', 'motorcycle', 'sedan', 'spaceship']",3
utensils,"['rambutan', 'norwegian', 'skimmer', 'tuba', 'plum']",1
fruits,"['thai', 'trombone', 'bicycle', 'walrus']",0
vehicles,"['yoruba', 'apricot', 'motorcycle', 'maori', 'sitar']",1
languages,"['arabic', 'mandarin', 'hebrew', 'bengali']",4
utensils,"['thai', 'paring knife', 'hungarian', 'convertible', 'masher']",2
fruits,"['thai', 'spaceship', 'turkish', 'mango', 'trolley']",1
fruits,"['thai', 'jeep', 'marimba', 'grape']",1
fruits,"['piccolo', 'mandarin', 'accordion', 'tram']",0
vehicles,"['vietnamese', 'bulldozer', 'truck', 'measuring cup', 'motorcycle']",3
languages,"['norwegian', 'piccolo', 'trolley', 'persian']",2
fruits,"['peach', 'pomegranate', 'papaya', 'oboe', 'rambutan', 'violin']",4
musical instruments,"['oboe', 'cello', 'plum', 'sitar', 'violin']",4
fruits,"['grater', 'trumpet', 'whisk', 'xylophone', 'guava']",1
musical instruments,"['sedan', 'marimba', 'ferry', 'cherry', 'violin', 'accordion', 'bengali']",3
utensils,"['elephant', 'xylophone', 'grater', 'colander']",2
fruits,"['persimmon', 'apricot', 'yoruba', 'mango']",3
languages,"['kiwi', 'plum', 'peach', 'rolling pin']",0
utensils,"['spatula', 'koala', 'mango', 'turkish', 'hebrew']",1
animals,"['jaguar', 'panther', 'dolphin', 'koala']",4
vehicles,"['mandolin', 'rambutan', 'cherry', 'guava']",0
fruits,"['persian', 'bagpipe', 'clarinet', 'grape', 'yoruba', 'papaya']",2
animals,"['cherry', 'pomegranate', 'tram', 'bus', 'badger']",1
animals,"['tuba', 'kangaroo', 'paring knife', 'giraffe', 'leopard', 'dolphin']",4
languages,"['strainer', 'truck', 'spaceship', 'plum']",0
fruits,"['pear', 'papaya', 'banana', 'arabic', 'skimmer', 'kangaroo']",3
vehicles,"['pear', 'jeep', 'bicycle', 'ambulance']",3
animals,"['alpaca', 'walrus', 'convertible', 'czech']",2
vehicles,"['tram', 'trolley', 'jeep', 'mandarin', 'mandolin']",3
musical instruments,"['rolling pin', 'badger', 'persimmon', 'orange', 'bagpipe']",1
fruits,"['koala', 'peach', 'lion', 'finnish', 'raccoon']",1
musical instruments,"['meat tenderizer', 'zester', 'lychee', 'piccolo', 'violin']",2
vehicles,"['lychee', 'subway', 'lute', 'apricot']",1
animals,"['cherry', 'persian', 'melon', 'whisk', 'sloth', 'jaguar', 'chameleon']",3
languages,"['hungarian', 'korean', 'banjo', 'zester', 'tagalog', 'yoruba']",4
vehicles,"['convertible', 'tongs', 'cleaver', 'bulldozer', 'strainer']",2
animals,"['greek', 'ambulance', 'finnish', 'jeep']",0
fruits,"['hyena', 'rolling pin', 'persimmon', 'arabic', 'lychee']",2
utensils,"['didgeridoo', 'melon', 'colander', 'motorcycle', 'spatula', 'cherry']",2
animals,"['lute', 'scooter', 'tram', 'czech']",0
fruits,"['raccoon', 'sloth', 'cello', 'banjo']",0
musical instruments,"['hyena', 'mango', 'lute', 'sitar']",2
utensils,"['skimmer', 'rolling pin', 'mandoline', 'whisk']",4
languages,"['papaya', 'mandarin', 'finnish', 'hindi', 'cello', 'hyena']",3
musical instruments,"['buffalo', 'leopard', 'colander', 'dolphin']",0
animals,"['badger', 'walrus', 'sloth', 'violin', 'bassoon', 'raccoon']",4
utensils,"['oboe', 'clarinet', 'paring knife', 'whisk', 'peeler']",3
utensils,"['guava', 'masher', 'banana', 'baster', 'greek']",2
utensils,"['elephant', 'grape', 'mandoline', 'apple', 'turkish']",1
vehicles,"['rambutan', 'kangaroo', 'ferry', 'trolley', 'greek']",2
fruits,"['bagpipe', 'harp', 'skimmer', 'papaya', 'sedan']",1
musical instruments,"['marimba', 'kangaroo', 'meat tenderizer', 'slotted spoon', 'trumpet', 'bagpipe']",3
animals,"['ferry', 'koala', 'gorilla', 'sloth', 'yoruba']",3
fruits,"['rambutan', 'apple', 'persimmon', 'grape']",4
utensils,"['scooter', 'didgeridoo', 'rice paddle', 'measuring cup', 'tongs', 'melon']",3
languages,"['minivan', 'skimmer', 'hebrew', 'peeler', 'punjabi', 'kiwi']",2
vehicles,"['colander', 'sedan', 'gondola', 'rambutan']",2
utensils,"['punjabi', 'chameleon', 'measuring cup', 'sitar']",1
utensils,"['ambulance', 'piccolo', 'peeler', 'bengali']",1
musical instruments,"['chameleon', 'persian', 'walrus', 'didgeridoo']",1
vehicles,"['bus', 'convertible', 'ambulance', 'orange', 'trolley']",4
fruits,"['rambutan', 'tagalog', 'cherry', 'peach']",3
fruits,"['spaceship', 'yoruba', 'xylophone', 'walrus']",0
fruits,"['hindi', 'measuring cup', 'rambutan', 'spaceship']",1
animals,"['gorilla', 'kangaroo', 'elephant', 'bicycle', 'masher', 'leopard', 'turkish']",4
languages,"['lychee', 'gondola', 'bus', 'paring knife']",0
languages,"['dolphin', 'sloth', 'buffalo', 'turkish', 'finnish', 'banjo', 'yoruba', 'vietnamese']",4
animals,"['grape', 'accordion', 'buffalo', 'bagpipe', 'raccoon', 'clarinet']",2
fruits,"['marimba', 'oboe', 'ambulance', 'maori']",0
languages,"['mandoline', 'norwegian', 'mandarin', 'hungarian']",3
musical instruments,"['bicycle', 'apricot', 'arabic', 'cello']",1
musical instruments,"['xylophone', 'bagpipe', 'harp', 'trumpet']",4
musical instruments,"['tuba', 'melon', 'tagalog', 'marimba', 'bagpipe', 'lute', 'kangaroo']",4
animals,"['strainer', 'van', 'giraffe', 'didgeridoo', 'convertible']",1
vehicles,"['masher', 'skimmer', 'measuring cup', 'van', 'buffalo']",1
fruits,"['plum', 'hyena', 'pear', 'cherry', 'didgeridoo']",3
vehicles,"['turkish', 'bassoon', 'cello', 'mandolin']",0
vehicles,"['gondola', 'mandarin', 'scooter', 'trolley']",3
languages,"['bus', 'ladle', 'lion', 'tongs']",0
utensils,"['tram', 'clarinet', 'melon', 'tongs', 'thai']",1
languages,"['yoruba', 'banjo', 'peach', 'meat tenderizer']",1
animals,"['lion', 'pomegranate', 'koala', 'piccolo', 'otter', 'turkish']",3
languages,"['cherry', 'maori', 'hebrew', 'yoruba', 'orange', 'greek', 'ladle', 'trombone']",4
fruits,"['pomegranate', 'plum', 'mandoline', 'lychee', 'bicycle']",3
animals,"['mandarin', 'whisk', 'persian', 'subway']",0
utensils,"['didgeridoo', 'leopard', 'tambourine', 'minivan', 'paring knife']",1
animals,"['minivan', 'banana', 'czech', 'jeep']",0
fruits,"['mandolin', 'piccolo', 'mandarin', 'bagpipe']",0
utensils,"['lute', 'raccoon', 'buffalo', 'mandarin']",0
fruits,"['bicycle', 'pear', 'lychee', 'apricot', 'thai']",3
utensils,"['melon', 'leopard', 'giraffe', 'jeep']",0
languages,"['kangaroo', 'harp', 'persian', 'banana']",1
musical instruments,"['buffalo', 'clarinet', 'trumpet', 'accordion', 'bengali']",3
fruits,"['papaya', 'grape', 'tongs', 'bengali', 'apple', 'banjo', 'bagpipe']",3
animals,"['colander', 'truck', 'van', 'buffalo', 'otter']",2
languages,"['korean', 'finnish', 'norwegian', 'ferry', 'tuba']",3
utensils,"['trombone', 'truck', 'kangaroo', 'papaya']",0
fruits,"['tambourine', 'gondola', 'zester', 'plum', 'persian', 'papaya', 'apple']",3
animals,"['didgeridoo', 'raccoon', 'chameleon', 'trumpet', 'walrus']",3
musical instruments,"['oboe', 'tambourine', 'bulldozer', 'maori', 'bagpipe', 'otter']",3
languages,"['otter', 'lute', 'kangaroo', 'banana', 'arabic']",1
animals,"['giraffe', 'lion', 'buffalo', 'bassoon']",3
vehicles,"['van', 'subway', 'bengali', 'mandarin', 'arabic', 'sedan', 'jeep', 'bagpipe']",4
utensils,"['tram', 'zester', 'ladle', 'whisk', 'spaceship', 'thai', 'colander']",4
fruits,"['melon', 'jeep', 'grape', 'banana']",3
fruits,"['bassoon', 'orange', 'badger', 'strainer']",1
animals,"['panther', 'van', 'leopard', 'badger', 'sedan', 'subway', 'norwegian']",3
utensils,"['apricot', 'guava', 'norwegian', 'sitar']",0
musical instruments,"['kangaroo', 'clarinet', 'spaceship', 'oboe', 'tuba']",3
musical instruments,"['cello', 'otter', 'oboe', 'tuba', 'persian']",3
musical instruments,"['harp', 'buffalo', 'alpaca', 'bengali']",1
fruits,"['bagpipe', 'fig', 'sloth', 'bus']",1
utensils,"['masher', 'mango', 'zester', 'czech', 'cleaver']",3
musical instruments,"['rice paddle', 'guava', 'tambourine', 'truck']",1
languages,"['tambourine', 'turkish', 'vietnamese', 'yoruba', 'tagalog', 'otter', 'rice paddle']",4
vehicles,"['trolley', 'jeep', 'bulldozer', 'mandarin']",3
utensils,"['minivan', 'paring knife', 'tram', 'leopard', 'baster', 'rolling pin', 'skimmer']",4
vehicles,"['orange', 'bagpipe', 'baster', 'jaguar']",0
fruits,"['convertible', 'mandolin', 'mandarin', 'melon', 'strainer']",1
musical instruments,"['clarinet', 'tongs', 'xylophone', 'mandolin', 'ambulance', 'banjo']",4
animals,"['skimmer', 'colander', 'tuba', 'kangaroo']",1
languages,"['walrus', 'trumpet', 'slotted spoon', 'yoruba', 'jaguar']",1
animals,"['otter', 'buffalo', 'van', 'lion', 'gorilla']",4
fruits,"['norwegian', 'mango', 'hebrew', 'harp', 'apple', 'trolley', 'banana', 'orange']",4
utensils,"['lute', 'orange', 'kangaroo', 'paring knife']",1
animals,"['papaya', 'trombone', 'yoruba', 'giraffe', 'cleaver']",1
musical instruments,"['xylophone', 'violin', 'accordion', 'cleaver']",3
languages,"['leopard', 'rambutan', 'mandolin', 'hindi', 'maori']",2
musical instruments,"['punjabi', 'guava', 'rolling pin', 'penguin']",0
musical instruments,"['elephant', 'didgeridoo', 'accordion', 'tuba']",3
musical instruments,"['walrus', 'rolling pin', 'banana', 'tram']",0
animals,"['koala', 'greek', 'alpaca', 'badger', 'raccoon', 'mandoline']",4
languages,"['koala', 'gondola', 'subway', 'yoruba', 'oboe']",1
utensils,"['cleaver', 'mandoline', 'accordion', 'penguin']",2
musical instruments,"['tagalog', 'strainer', 'violin', 'scooter', 'cherry', 'trumpet']",2
languages,"['finnish', 'baster', 'orange', 'leopard', 'badger', 'hungarian']",2
languages,"['greek', 'banana', 'tuba', 'tagalog', 'tongs', 'persian', 'trumpet']",3
animals,"['cleaver', 'hebrew', 'leopard', 'sloth', 'rambutan', 'lion']",3
utensils,"['zester', 'peach', 'grater', 'cleaver']",3
utensils,"['clarinet', 'meat tenderizer', 'colander', 'paring knife', 'minivan', 'mandoline']",4
animals,"['mandolin', 'jeep', 'arabic', 'trolley']",0
utensils,"['masher', 'giraffe', 'tagalog', 'meat tenderizer', 'tongs', 'mandoline', 'oboe']",4
fruits,"['kangaroo', 'guava', 'whisk', 'trolley', 'persimmon', 'swahili']",2
animals,"['apricot', 'guava', 'greek', 'rambutan']",0
fruits,"['pear', 'pomegranate', 'alpaca', 'plum', 'peach', 'koala']",4
vehicles,"['papaya', 'clarinet', 'sedan', 'bus', 'gondola', 'kiwi']",3
utensils,"['grater', 'rolling pin', 'oboe', 'minivan', 'slotted spoon', 'buffalo', 'spatula']",4
musical instruments,"['trombone', 'bengali', 'piccolo', 'bagpipe']",3
animals,"['jaguar', 'cleaver', 'kangaroo', 'melon', 'marimba']",2
vehicles,"['accordion', 'sedan', 'minivan', 'colander', 'bicycle', 'finnish', 'truck', 'meat tenderizer']",4
utensils,"['peeler', 'penguin', 'convertible', 'apricot', 'grater', 'elephant']",2
vehicles,"['masher', 'hyena', 'dolphin', 'persimmon']",0
utensils,"['kiwi', 'cleaver', 'trumpet', 'meat tenderizer']",2
fruits,"['subway', 'cherry', 'marimba', 'pear', 'hindi', 'plum', 'skimmer']",3
fruits,"['cherry', 'grater', 'norwegian', 'truck', 'ferry']",1
fruits,"['bagpipe', 'whisk', 'pear', 'accordion', 'hebrew', 'mango']",2
musical instruments,"['ladle', 'raccoon', 'bassoon', 'korean', 'cello', 'accordion', 'melon']",3
languages,"['kiwi', 'date', 'rolling pin', 'grape']",0
utensils,"['dolphin', 'oboe', 'cleaver', 'mango', 'rolling pin']",2
utensils,"['colander', 'peeler', 'mandoline', 'spatula']",4
animals,"['mandarin', 'cherry', 'bengali', 'ferry']",0
utensils,"['tongs', 'ladle', 'tambourine', 'swahili', 'grater', 'tuba', 'zester', 'sloth']",4
utensils,"['ferry', 'banana', 'ladle', 'leopard', 'tram']",1
fruits,"['rambutan', 'ladle', 'peach', 'arabic', 'sloth']",2
fruits,"['gondola', 'fig', 'date', 'kiwi', 'grape', 'marimba']",4
animals,"['lychee', 'gorilla', 'pomegranate', 'czech', 'trombone']",1
languages,"['hungarian', 'tagalog', 'maori', 'persian', 'spaceship']",4
vehicles,"['bicycle', 'spaceship', 'ladle', 'ambulance', 'harp']",3
fruits,"['panther', 'cleaver', 'mango', 'guava', 'apple']",3
musical instruments,"['apple', 'korean', 'papaya', 'rice paddle']",0
musical instruments,"['sitar', 'greek', 'sedan', 'hebrew', 'grape']",1
fruits,"['paring knife', 'harp', 'clarinet', 'rice paddle']",0
languages,"['fig', 'whisk', 'trumpet', 'czech', 'mandarin', 'grape']",2
vehicles,"['lute', 'scooter', 'hungarian', 'subway', 'peeler', 'mandolin', 'bulldozer', 'trolley']",4
musical instruments,"['tambourine', 'accordion', 'didgeridoo', 'clarinet', 'hyena']",4
vehicles,"['cello', 'cleaver', 'buffalo', 'lion']",0
utensils,"['persian', 'bicycle', 'tuba', 'whisk', 'banana']",1
vehicles,"['scooter', 'ambulance', 'colander', 'mandarin']",2
utensils,"['minivan', 'masher', 'peeler', 'walrus', 'violin', 'accordion']",2
musical instruments,"['lion', 'trolley', 'convertible', 'skimmer']",0
fruits,"['apricot', 'jeep', 'persimmon', 'persian', 'accordion']",2
musical instruments,"['bassoon', 'accordion', 'bus', 'tambourine', 'tongs', 'clarinet']",4
fruits,"['kangaroo', 'kiwi', 'orange', 'rolling pin', 'lychee', 'pear', 'ferry']",4
utensils,"['baster', 'gondola', 'lychee', 'vietnamese']",1
languages,"['bengali', 'whisk', 'persian', 'skimmer', 'yoruba', 'swahili', 'chameleon']",4
vehicles,"['van', 'spaceship', 'penguin', 'motorcycle', 'paring knife']",3
animals,"['leopard', 'penguin', 'koala', 'sloth']",4
languages,"['pear', 'persimmon', 'vietnamese', 'maori', 'lute', 'punjabi', 'persian']",4
vehicles,"['sedan', 'peach', 'lychee', 'strainer', 'scooter']",2
languages,"['alpaca', 'raccoon', 'bagpipe', 'jaguar', 'bengali']",1
fruits,"['trolley', 'norwegian', 'tambourine', 'korean']",0
musical instruments,"['trombone', 'mandolin', 'xylophone', 'harp']",4
animals,"['kangaroo', 'elephant', 'pear', 'buffalo', 'rice paddle', 'yoruba', 'koala', 'tongs']",4
musical instruments,"['date', 'lute', 'tambourine', 'convertible', 'subway', 'scooter', 'bagpipe']",3
languages,"['jaguar', 'subway', 'grater', 'motorcycle']",0
vehicles,"['measuring cup', 'jeep', 'spaceship', 'bulldozer']",3
utensils,"['ferry', 'peeler', 'measuring cup', 'sedan', 'ladle']",3
utensils,"['banana', 'ladle', 'zester', 'whisk']",3
animals,"['xylophone', 'tuba', 'koala', 'lychee']",1
vehicles,"['persimmon', 'cherry', 'strainer', 'sitar', 'motorcycle']",1
fruits,"['baster', 'jaguar', 'xylophone', 'rolling pin']",0
utensils,"['kiwi', 'hindi', 'harp', 'peeler', 'melon']",1
musical instruments,"['papaya', 'arabic', 'persian', 'scooter']",0
vehicles,"['subway', 'zester', 'grape', 'convertible', 'tram', 'cherry', 'ambulance']",4
languages,"['arabic', 'swahili', 'bengali', 'yoruba']",4
utensils,"['finnish', 'kiwi', 'mandoline', 'van', 'subway', 'cleaver']",2
fruits,"['otter', 'orange', 'banana', 'persimmon', 'guava']",4
animals,"['scooter', 'greek', 'finnish', 'cherry']",0
utensils,"['colander', 'zester', 'tongs', 'giraffe']",3
animals,"['piccolo', 'skimmer', 'harp', 'grater']",0
fruits,"['minivan', 'grater', 'apricot', 'melon', 'plum', 'banana']",4
vehicles,"['norwegian', 'chameleon', 'motorcycle', 'van', 'jeep', 'trombone', 'apple', 'ferry']",4
vehicles,"['walrus', 'apricot', 'cello', 'mandolin']",0
fruits,"['peach', 'melon', 'kiwi', 'mango']",4
vehicles,"['sedan', 'rice paddle', 'trolley', 'plum']",2
fruits,"['arabic', 'elephant', 'pomegranate', 'van', 'papaya']",2
musical instruments,"['trombone', 'bagpipe', 'bassoon', 'banjo']",4
animals,"['alpaca', 'date', 'peach', 'hungarian', 'raccoon', 'motorcycle']",2
musical instruments,"['violin', 'koala', 'trombone', 'mandoline', 'xylophone']",3
languages,"['zester', 'norwegian', 'hungarian', 'thai', 'yoruba', 'buffalo', 'jaguar']",4
fruits,"['bulldozer', 'oboe', 'spatula', 'lion']",0
languages,"['otter', 'mandarin', 'hindi', 'hungarian', 'mandolin', 'baster', 'tagalog', 'grater']",4
vehicles,"['piccolo', 'clarinet', 'accordion', 'rolling pin']",0
animals,"['leopard', 'rambutan', 'lion', 'koala']",3
musical instruments,"['cello', 'trumpet', 'bassoon', 'accordion']",4
languages,"['trolley', 'kiwi', 'baster', 'maori']",1
musical instruments,"['baster', 'greek', 'trumpet', 'tongs', 'turkish']",1
vehicles,"['finnish', 'spaceship', 'van', 'ambulance', 'rolling pin', 'trolley']",4
vehicles,"['cello', 'greek', 'swahili', 'chameleon']",0
utensils,"['pear', 'lute', 'didgeridoo', 'xylophone']",0
fruits,"['banana', 'oboe', 'harp', 'motorcycle']",1
vehicles,"['turkish', 'lute', 'baster', 'ferry', 'cello']",1
musical instruments,"['didgeridoo', 'marimba', 'papaya', 'sitar']",3
utensils,"['didgeridoo', 'sloth', 'maori', 'arabic']",0
fruits,"['banjo', 'elephant', 'meat tenderizer', 'penguin']",0
vehicles,"['peach', 'oboe', 'motorcycle', 'thai', 'tram']",2
fruits,"['paring knife', 'sloth', 'mandoline', 'minivan', 'guava']",1
animals,"['cherry', 'fig', 'mandoline', 'sitar']",0
languages,"['maori', 'xylophone', 'lion', 'bengali', 'arabic', 'korean', 'slotted spoon']",4
languages,"['oboe', 'cherry', 'swahili', 'mandolin', 'bengali', 'finnish', 'thai', 'penguin']",4
musical instruments,"['trumpet', 'slotted spoon', 'xylophone', 'kangaroo', 'rambutan']",2
utensils,"['spatula', 'tongs', 'kangaroo', 'kiwi', 'arabic', 'guava']",2
musical instruments,"['maori', 'violin', 'accordion', 'sitar', 'sloth']",3
animals,"['gondola', 'panther', 'mandolin', 'turkish', 'leopard', 'hyena', 'raccoon']",4
fruits,"['peach', 'lychee', 'apricot', 'melon', 'jeep', 'lion']",4
animals,"['leopard', 'scooter', 'kiwi', 'giraffe', 'persian', 'guava', 'lion']",3
utensils,"['ferry', 'gondola', 'bagpipe', 'sloth']",0
animals,"['chameleon', 'skimmer', 'bus', 'slotted spoon', 'minivan']",1
